DOW,HOD,AHN,KWH,NDH,NLT,PMH,POH,PWH,PYN,QEH,QMH,RH,SJH,TKO,TMH,TSH,UCH,YCH
6,4,1.54611399,4.329533679,3.645595855,0.2922279793,2.812435233,2.333678756,6.156476684,3.23626943,4.548186528,2.289119171,1.394818653,0.06528497409,4.441450777,3.780310881,-0.2238341969,4.960621762,2.965803109
6,5,1.646328852,4.52016546,3.446742503,0.2895553257,2.745604964,2.34229576,6.332988625,3.152016546,4.779731127,2.284384695,1.340227508,0.07549120993,4.52016546,3.859358842,-0.2140641158,5.117890383,2.935884178
6,6,1.707772021,4.616580311,3.191709845,0.2766839378,2.54611399,2.283937824,6.469430052,3.026943005,4.907772021,2.284974093,1.370984456,0.06528497409,4.58238342,3.827979275,-0.2196891192,5.147150259,2.579274611
6,7,1.746421268,4.518404908,2.986707566,0.2658486708,2.266871166,2.116564417,6.716768916,2.890593047,5.069529652,2.301635992,1.377300613,0.05419222904,4.487730061,3.86809816,-0.245398773,5.247443763,2.09406953
6,8,1.717659138,4.6724846,2.876796715,0.1899383984,2.284394251,1.914784394,6.842915811,2.671457906,5.593429158,2.477412731,1.265913758,0.06160164271,4.401437372,3.821355236,0.4928131417,5.603696099,2.035934292
6,9,1.198969072,3.946391753,2.282474227,0.04948453608,2.219587629,1.128865979,6.708247423,1.801030928,5.781443299,2.222680412,0.9432989691,0.0412371134,3.768041237,3.490721649,0.7484536082,5.598969072,1.648453608
6,10,1.056584362,3.532921811,2.197530864,0.04732510288,2.089506173,1.028806584,6.223251029,1.393004115,5.311728395,1.976337449,0.8796296296,0.1028806584,3.096707819,2.939300412,1.014403292,5.318930041,1.579218107
6,11,0.9530132789,2.163432074,1.863125638,0.08988764045,1.837589377,1.012257406,4.97752809,1.164453524,4.118488253,1.458631256,1.008171604,0.1542390194,2.196118488,2.449438202,1.125638407,4.255362615,1.286006129
6,12,0.9651639344,1.31045082,1.831967213,0.1721311475,1.576844262,1.084016393,3.93442623,1.211065574,2.770491803,1.284836066,1.281762295,0.1506147541,1.668032787,2.141393443,1.237704918,3.161885246,1.303278689
6,13,1.198989899,1.705050505,2.107070707,0.4171717172,1.683838384,1.367676768,3.537373737,1.483838384,2.372727273,1.48989899,1.492929293,0.1252525253,1.822222222,2.26969697,1.41010101,2.851515152,1.636363636
6,14,1.43545082,2.393442623,2.410860656,0.7274590164,2.014344262,1.849385246,3.364754098,1.911885246,2.455942623,1.80942623,1.846311475,0.1362704918,2.300204918,2.664959016,1.480532787,3.380122951,2.198770492
6,15,1.501028807,2.514403292,2.624485597,0.8528806584,2.455761317,2.158436214,3.501028807,2.187242798,2.692386831,1.979423868,2.16563786,0.1265432099,2.715020576,2.909465021,1.46399177,4.156378601,2.419753086
6,16,1.538302277,2.590062112,2.774327122,0.8788819876,2.780538302,2.295031056,3.630434783,2.200828157,2.898550725,1.959627329,2.222567288,0.1283643892,3.013457557,3.004140787,1.15942029,4.345755694,2.450310559
6,17,1.646578141,2.433094995,2.828396323,0.8018386108,2.872318693,2.307456588,3.726251277,2.124616956,3.103166496,1.830439224,2.076608784,0.07967313585,3.117466803,2.914198161,0.7528089888,4.37793667,2.388151175
6,18,1.819655522,2.295845998,2.83485309,0.609929078,2.80141844,2.260385005,3.705167173,1.891590679,3.155015198,1.74366768,1.881458967,0.06585612969,3.032421479,2.721377913,0.6281661601,4.201621074,2.11550152
6,19,1.921668362,2.07629705,2.810783316,0.4699898271,2.615462869,2.126144456,3.729399797,1.958290946,3.187182096,1.784333672,1.700915565,0.07527975585,2.929806714,2.499491353,0.7650050865,4.079348932,2.125127162
6,20,1.920536636,2.038183695,3.04747162,0.5407636739,2.437564499,2.114551084,4.058823529,2.446852425,3.31372549,1.974200206,1.69246646,0.07636738906,2.945304438,2.392156863,-0.4664602683,4.293085655,2.42002064
6,21,1.88024565,2.293756397,3.389969294,0.5803480041,2.721596725,2.19037871,4.463664278,2.790174002,3.493346981,2.185261003,1.885363357,0.07574206755,3.201637666,2.477993859,-0.4216990788,4.527123849,2.541453429
6,22,1.728848114,2.518858308,3.556574924,0.5239551478,2.896024465,2.195718654,4.849133537,2.877675841,3.621814475,2.317023445,1.925586137,0.04077471967,3.437308869,2.649337411,-0.3995922528,4.613659531,2.592252803
6,23,1.465851172,2.703363914,3.762487258,0.4046890928,2.879714577,2.136595311,5.081549439,2.960244648,3.73598369,2.319062181,1.815494393,0.03363914373,3.691131498,2.827726809,-0.3965341488,4.584097859,2.636085627
7,0,1.430340557,3.079463364,3.661506708,0.2332301342,2.834881321,2.114551084,5.326109391,2.997936017,3.827657379,2.19504644,1.522187822,0.03302373581,3.813209494,3.184726522,-0.3436532508,4.506707946,2.8875129
7,1,1.436028659,3.716479017,3.552712385,0.2210849539,2.773797339,2.137154555,5.58444217,3.06345957,3.986693961,2.115660184,1.338792221,0.03684749232,3.915046059,3.456499488,-0.2937563971,4.571136131,3.00716479
7,2,1.531154239,4.006128703,3.319713994,0.2900919305,2.678243105,2.261491318,5.826353422,3.031664964,4.183861083,2.073544433,1.350357508,0.03575076609,4.055158325,3.612870276,-0.2553626149,4.659856997,2.95505618
7,3,1.480040942,4.073694985,3.74616172,0.329580348,2.967246673,2.402251791,5.937563971,3.222108495,4.325486182,2.292732856,1.574206755,0.06243602866,4.360286592,3.687819857,-0.241555783,4.808597748,3.009211873
7,4,1.54611399,4.329533679,3.645595855,0.2922279793,2.812435233,2.333678756,6.156476684,3.23626943,4.548186528,2.289119171,1.394818653,0.06528497409,4.441450777,3.780310881,-0.2238341969,4.960621762,2.965803109
7,5,1.646328852,4.52016546,3.446742503,0.2895553257,2.745604964,2.34229576,6.332988625,3.152016546,4.779731127,2.284384695,1.340227508,0.07549120993,4.52016546,3.859358842,-0.2140641158,5.117890383,2.935884178
7,6,1.707772021,4.616580311,3.191709845,0.2766839378,2.54611399,2.283937824,6.469430052,3.026943005,4.907772021,2.284974093,1.370984456,0.06528497409,4.58238342,3.827979275,-0.2196891192,5.147150259,2.579274611
7,7,1.746421268,4.518404908,2.986707566,0.2658486708,2.266871166,2.116564417,6.716768916,2.890593047,5.069529652,2.301635992,1.377300613,0.05419222904,4.487730061,3.86809816,-0.245398773,5.247443763,2.09406953
7,8,1.717659138,4.6724846,2.876796715,0.1899383984,2.284394251,1.914784394,6.842915811,2.671457906,5.593429158,2.477412731,1.265913758,0.06160164271,4.401437372,3.821355236,0.4928131417,5.603696099,2.035934292
7,9,1.198969072,3.946391753,2.282474227,0.04948453608,2.219587629,1.128865979,6.708247423,1.801030928,5.781443299,2.222680412,0.9432989691,0.0412371134,3.768041237,3.490721649,0.7484536082,5.598969072,1.648453608
7,10,1.056584362,3.532921811,2.197530864,0.04732510288,2.089506173,1.028806584,6.223251029,1.393004115,5.311728395,1.976337449,0.8796296296,0.1028806584,3.096707819,2.939300412,1.014403292,5.318930041,1.579218107
7,11,0.9530132789,2.163432074,1.863125638,0.08988764045,1.837589377,1.012257406,4.97752809,1.164453524,4.118488253,1.458631256,1.008171604,0.1542390194,2.196118488,2.449438202,1.125638407,4.255362615,1.286006129
7,12,0.9651639344,1.31045082,1.831967213,0.1721311475,1.576844262,1.084016393,3.93442623,1.211065574,2.770491803,1.284836066,1.281762295,0.1506147541,1.668032787,2.141393443,1.237704918,3.161885246,1.303278689
7,13,1.198989899,1.705050505,2.107070707,0.4171717172,1.683838384,1.367676768,3.537373737,1.483838384,2.372727273,1.48989899,1.492929293,0.1252525253,1.822222222,2.26969697,1.41010101,2.851515152,1.636363636
7,14,1.43545082,2.393442623,2.410860656,0.7274590164,2.014344262,1.849385246,3.364754098,1.911885246,2.455942623,1.80942623,1.846311475,0.1362704918,2.300204918,2.664959016,1.480532787,3.380122951,2.198770492
7,15,1.501028807,2.514403292,2.624485597,0.8528806584,2.455761317,2.158436214,3.501028807,2.187242798,2.692386831,1.979423868,2.16563786,0.1265432099,2.715020576,2.909465021,1.46399177,4.156378601,2.419753086
7,16,1.538302277,2.590062112,2.774327122,0.8788819876,2.780538302,2.295031056,3.630434783,2.200828157,2.898550725,1.959627329,2.222567288,0.1283643892,3.013457557,3.004140787,1.15942029,4.345755694,2.450310559
7,17,1.646578141,2.433094995,2.828396323,0.8018386108,2.872318693,2.307456588,3.726251277,2.124616956,3.103166496,1.830439224,2.076608784,0.07967313585,3.117466803,2.914198161,0.7528089888,4.37793667,2.388151175
7,18,1.819655522,2.295845998,2.83485309,0.609929078,2.80141844,2.260385005,3.705167173,1.891590679,3.155015198,1.74366768,1.881458967,0.06585612969,3.032421479,2.721377913,0.6281661601,4.201621074,2.11550152
7,19,1.921668362,2.07629705,2.810783316,0.4699898271,2.615462869,2.126144456,3.729399797,1.958290946,3.187182096,1.784333672,1.700915565,0.07527975585,2.929806714,2.499491353,0.7650050865,4.079348932,2.125127162
7,20,1.920536636,2.038183695,3.04747162,0.5407636739,2.437564499,2.114551084,4.058823529,2.446852425,3.31372549,1.974200206,1.69246646,0.07636738906,2.945304438,2.392156863,-0.4664602683,4.293085655,2.42002064
7,21,1.88024565,2.293756397,3.389969294,0.5803480041,2.721596725,2.19037871,4.463664278,2.790174002,3.493346981,2.185261003,1.885363357,0.07574206755,3.201637666,2.477993859,-0.4216990788,4.527123849,2.541453429
7,22,1.728848114,2.518858308,3.556574924,0.5239551478,2.896024465,2.195718654,4.849133537,2.877675841,3.621814475,2.317023445,1.925586137,0.04077471967,3.437308869,2.649337411,-0.3995922528,4.613659531,2.592252803
7,23,1.465851172,2.703363914,3.762487258,0.4046890928,2.879714577,2.136595311,5.081549439,2.960244648,3.73598369,2.319062181,1.815494393,0.03363914373,3.691131498,2.827726809,-0.3965341488,4.584097859,2.636085627
